% Arc length (m),Total traction
0,25.04441178446497
0.01631583247201614,25.70909934065634
0.03263166494403228,26.40266301434823
0.04894749741604841,27.125165263817376
0.06526332988806455,27.876668727597924
0.08157916236008068,28.65723622513222
0.09789499483209682,29.466930757424386
0.11421082730411297,30.305815507696682
0.1305266597761291,55.939510716874665
0.14684240514017108,80.76325185423121
0.16315815050421306,80.95003874527808
0.17947389586825507,81.2658947613189
0.19578964123229706,81.71128865780466
0.21210538659633904,82.28669146284966
0.22842113196038105,82.99257649102151
0.24473687732442304,83.82941935723144
0.261052622688465,108.06193892271472
0.2773683907776955,130.8603206521943
0.2936841588669259,130.5806369305584
0.3099999269561563,130.48783150717543
0.3263156950453868,130.58261074142115
0.34263146313461723,130.86568455700896
0.35894723122384764,131.33776646450028
0.37526299931307805,131.99957358398666
0.3915787674023085,152.97449332233646
0.40789453549161236,172.7236066495008
0.42421030358091627,172.50578366625484
0.4405260716702202,172.44424097797233
0.456841839759524,172.53953112817086
0.4731576078488279,172.7922092682001
0.4894733759381318,173.20283317264511
0.5057891440274357,173.77196325483914
0.5221049121167396,190.17505645372563
0.5384206752722055,205.58794501342172
0.5547364384276713,205.46375895997267
0.5710522015831372,205.47730782014625
0.587367964738603,205.62850731828118
0.6036837278940689,205.91727324745636
0.6199994910495348,206.34352146942066
0.6363152542050007,206.9071679145231
0.6526310173604666,217.62552818451834
0.6689467843554446,227.70778405238892
0.6852625513504227,227.8507809930869
0.7015783183454007,228.0709666504764
0.7178940853403788,228.36740446616
0.7342098523353568,228.73917297217312
0.7505256193303349,229.18536548826992
0.766841386325313,229.70508982646723
0.783157153320291,233.12564396065548
0.7994729857923072,236.30530638867117
0.8157888182643234,236.63865765193793
0.8321046507363395,236.9540876913329
0.8484204832083557,237.25180713644434
0.8647363156803719,237.53202332901273
0.8810521481523881,237.79494038683373
0.8973679806244043,238.04075926617674
0.9136838130964204,232.41076418295262
0.9299995584604624,227.26781362039114
0.9463153038245045,227.8665018259145
0.9626310491885465,228.34863913345288
0.9789467945525885,228.71494356989774
0.9952625399166305,228.96612727623074
1.0115782852806725,229.10289656771138
1.0278940306447144,229.1259519933275
1.0442097760087563,213.95457881921726
1.0605255440979868,199.71788308058638
1.0768413121872171,200.39220676031812
1.0931570802764474,200.89609706900077
1.109472848365678,201.22951077791066
1.1257886164549082,201.39240464370343
1.1421043845441385,201.38473540840792
1.158420152633369,201.20645979942006
1.1747359207225996,177.46248110390516
1.1910516888119034,154.87742711350444
1.2073674569012072,155.5594878073609
1.223683224990511,156.1126631149597
1.2399989930798148,156.53599702906018
1.2563147611691186,156.82852406407585
1.2726305292584223,156.98926913831653
1.2889462973477261,157.0172474544692
1.30526206543703,127.0508640981933
1.3215778285924957,97.8073001770216
1.3378935917479615,98.33500006212181
1.3542093549034275,98.77261823361044
1.3705251180588933,99.11940113958998
1.3868408812143591,99.37458679984104
1.403156644369825,99.53740468765561
1.4194724075252907,99.60707560967691
1.4357881706807565,65.76142678977892
1.4521039376757345,32.424561136645394
1.4684197046707126,32.86209857210998
1.4847354716656906,33.25245791954866
1.5010512386606687,33.59544170023546
1.5173670056556468,33.890851331758704
1.5336827726506248,34.13848712029978
1.5499985396456029,34.33814825284694
1.566314306640581,-0.6984403829377577
1.582630139112597,-35.60664973166595
1.598945971584613,-35.30430587052686
1.6152618040566291,-34.979386946430786
1.6315776365286452,-34.63179739767519
1.6478934690006612,-34.26144112243693
1.6642093014726773,-33.86822147495084
1.6805251339446934,-33.45204126165591
1.6968409664167095,-66.94449903348888
1.7131567117807514,-100.7512365231443
1.7294724571447933,-100.55052302189814
1.7457882025088354,-100.27385205599523
1.7621039478728773,-99.92102013119077
1.7784196932369192,-99.49182302569382
1.7947354386009613,-98.98605578691297
1.8110511839650032,-98.40351272818437
1.827366929329045,-127.70592660408234
1.8436826974182756,-157.7072969104609
1.859998465507506,-157.6277717747485
1.8763142335967362,-157.42935092328835
1.8926300016859667,-157.11209486273935
1.908945769775197,-156.67606405871143
1.9252615378644273,-156.12131893579976
1.9415773059536579,-155.4479198776201
1.9578930740428884,-178.11815442220671
1.9742088421321922,-201.6807026310481
1.9905246102214962,-201.66228602768868
2.0068403783108,-201.52561339945996
2.0231561464001038,-201.27116373743914
2.0394719144894076,-200.89941344934675
2.0557876825787114,-200.41083637693987
2.072103450668015,-199.80590381326368
2.088419218757319,-214.1693257147608
2.104734981912785,-229.29590373100885
2.121050745068251,-229.2309117868513
2.137366508223717,-229.05909114681089
2.153682271379183,-228.78093877864646
2.169998034534649,-228.39694857235997
2.186313797690115,-227.90761136398575
2.202629560845581,-227.313414959159
2.218945324001047,-232.4695780357139
2.235261090996025,-238.15393278812624
2.2515768579910027,-237.9469642829576
2.2678926249859805,-237.70328471059923
2.2842083919809584,-237.42277184197977
2.300524158975936,-237.10530290481134
2.316839925970914,-236.7507545805683
2.333155692965892,-236.35900300144615
2.3494714599608697,-233.09833914386869
2.365787292432886,-229.82317777733084
2.3821031249049023,-229.39524357324214
2.3984189573769186,-228.98300441767057
2.414734789848935,-228.58651303522035
2.431050622320951,-228.2058223869182
2.4473664547929674,-227.8409856715405
2.4636822872649837,-227.49205632694859
2.479998119737,-217.1655346965486
2.496313865101042,-206.79489748857392
2.5126296104650843,-206.4623370532418
2.5289453558291264,-206.17445114514055
2.5452611011931685,-205.9313915381435
2.5615768465572106,-205.73331069440349
2.5778925919212528,-205.58036176825905
2.594208337285295,-205.47269861016707
2.610524082649337,-189.74427286506338
2.6268398507385675,-173.4887741140697
