% Arc length (m),Total traction
0,262.19688608644975
0.016315832472016133,262.70688394879556
0.03263166494403227,263.10309970980904
0.0489474974160484,263.38595366427296
0.06526332988806453,263.5558640395041
0.08157916236008066,263.6132470080502
0.09789499483209681,263.55851670029375
0.11421082730411294,263.39208521696185
0.13052665977612907,255.6712705941657
0.14684240514017105,248.73078145458385
0.16315815050421306,249.11204205830867
0.17947389586825502,249.37328453580875
0.195789641232297,249.51581386754202
0.21210538659633899,249.54091618321326
0.22842113196038097,249.44985910092942
0.24473687732442295,249.24389205905777
0.2610526226884649,232.4374866989
0.2773683907776954,216.41633842195873
0.29368415886692584,216.7110235063023
0.30999992695615625,216.83482119569197
0.3263156950453867,216.78777066398303
0.3426314631346172,216.5699110730581
0.3589472312238476,216.18128157283167
0.37526299931307805,215.62192130125504
0.3915787674023085,189.87287090671538
0.4078945354916124,165.57848599436605
0.42421030358091627,165.99875103982404
0.4405260716702202,166.1141311640371
0.456841839759524,165.92408870430413
0.473157607848828,165.42808473296043
0.48947337593813184,164.62557905365563
0.5057891440274357,163.5160301976181
0.5221049121167396,130.05207122296144
0.5384206752722054,99.26112482720104
0.5547364384276713,100.06241877457829
0.5710522015831372,100.40915691296121
0.587367964738603,100.30136728485577
0.6036837278940688,99.73907793046133
0.6199994910495347,98.72231688767096
0.6363152542050006,97.25111219207147
0.6526310173604664,58.04060622991495
0.6689467843554444,22.452512191677936
0.6852625513504225,23.619915691293386
0.7015783183454005,24.259995692605585
0.7178940853403786,24.374806084463916
0.7342098523353566,23.96639010320661
0.7505256193303347,23.036780401632814
0.7668413863253127,21.587999117439594
0.7831571533202908,-20.830442089768734
0.799472985792307,-59.37353097626489
0.8157888182643231,-57.962010959211
0.8321046507363393,-57.04646028324745
0.8484204832083555,-56.624967039823055
0.8647363156803717,-56.69562913471193
0.8810521481523879,-57.25655422511961
0.897367980624404,-58.30585965727255
0.9136838130964202,-100.76190272738009
0.9299995584604622,-139.8829684946779
0.9463153038245042,-138.47181389276005
0.9626310491885461,-137.44704083951362
0.9789467945525882,-136.80703002934962
0.9952625399166302,-136.55017119262672
1.011578285280672,-136.6748630327118
1.027894030644714,-137.17951316356582
1.0442097760087559,-176.1023571220884
1.0605255440979864,-212.72686260159585
1.0768413121872167,-211.5546399932104
1.0931570802764472,-210.62337790273241
1.1094728483656775,-209.93097068466338
1.125788616454908,-209.47533715596674
1.1421043845441383,-209.25442024185423
1.1584201526333688,-209.26618662770906
1.1747359207225994,-241.23470901708305
1.1910516888119032,-271.89707110628086
1.207367456901207,-271.01107325089237
1.2236832249905107,-270.3016744576685
1.2399989930798145,-269.76776058478254
1.2563147611691183,-269.408226842719
1.2726305292584223,-269.2219776963479
1.2889462973477261,-269.207926768227
1.30526206543703,-291.96585997208604
1.3215778285924957,-313.63185716255555
1.3378935917479615,-312.84750509468597
1.3542093549034273,-312.2138009441753
1.370525118058893,-311.7308788167338
1.386840881214359,-311.39887297729234
1.4031566443698247,-311.2179178502384
1.4194724075252905,-311.1881480196534
1.4357881706807563,-322.9231248213735
1.4521039376757343,-333.97933639892364
1.4684197046707124,-333.5141073256408
1.4847354716656904,-333.14170327384505
1.5010512386606685,-332.86297356042854
1.5173670056556465,-332.6787778952555
1.5336827726506246,-332.5899865406224
1.5499985396456026,-332.59748047366185
1.5663143066405807,-332.6552353570145
1.5826301391125968,-332.3835463288567
1.5989459715846128,-332.21682285708425
1.615261804056629,-332.1086914651652
1.631577636528645,-332.05970165780593
