Lengths,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
4,5.8460619121828685,3.2538377007569057,5.5987394469426714,,4.971836907949746,5.098046350644115,,3.419856104056137,5.76541954242613,4.760544284859451,5.180625906530653,4.351398695249983,4.760652946360747,5.261519855334414,5.332969020405583,,5.542800701929458,5.090460488892029,3.7671407403096646,4.299550782215792,4.358125319925083,4.82639431892534,2.9269233212775854,5.721176097228653,4.325453145859721,3.1446082729634734,3.9396377668447276,5.314182480424781,4.868694897889525,2.867495415872584,2.840145721450801,5.80905055045037,4.1612334868800325,3.340944079355209,5.752687713628819,5.68569707137349,5.18121292576614,5.118599405953079,6.131339300082181,3.5243579308009108,3.8468729910492754,3.042318727091874,3.627362149959812,4.091425319041851,4.724616130337281,5.513682202074072,3.690031416419199,4.925887090604338,4.385307182436557,4.6781232293348705,5.773858031561409,4.98009982345914,5.544061301013656,4.942985530626516,4.669803091363667,3.426165662904122,3.762665994632257,3.409644456718024,2.539868108600859,3.271587245458215,4.2888772022136905,4.312096487524831,4.517242115031511,,4.465789609569413,4.2379564787272495,3.2028124479166338,4.906103788234407,5.763783148249029,4.9676659951135935,4.888135968782492,3.864949050091036,2.9434614318346846,5.988090940457097,3.1858419240785496,3.884797893031837,4.157947161606775,4.488397546457672,3.276787041312866,5.20132197441781,4.76369635650297,3.6439065144671745,,5.11804003254879,3.6262780789784115,5.410556073984497,4.66375938573891,5.0112674357635205,4.450670993191181,4.04657594162089,4.587137430100319,2.869283124701856,5.250992823990425,5.32941723281391,,3.8539895001396567,5.478947716197644,3.274282227691146,4.27820441571057,4.42881666140198,4.529810310134539,5.563823444520695,5.476933953208302,4.192784422625677,3.810221722295926,5.707612657940835,5.568076975657555,5.921507263372937,4.395979740238339,5.23774579652284,5.90117671450166,4.6245663929809195,3.4127323415903468,6.047633432058014,3.841391732174891,3.0670643930185126,4.917483714108158,4.031463133191339,5.68491637126493,5.36842014319225,5.360355346755849,3.4738373085997285,5.474660612581673,4.002901172821391,4.844492629688982,5.075876002233866,5.988129963861562,4.470347355375633,4.801358843315125,3.1057125726394745,5.374826459255258,6.1523803626223215,3.692078040237956,5.253786280276914,5.78692419132751,3.8880284003713266,5.171978926728072,5.563232235931883,4.974496263837448,5.05816690764898,5.50062850415071,5.544351603883201,,4.828092337868128,3.740619254243896,3.588502807972929,4.16103458022846,5.54880178705756,5.756644357206446,5.105717040785054,5.013738414737286,5.023700342254661,4.915573207869537,5.939701859955591,4.8797660227254465,5.275313124217913,4.9507959570782685,5.610196175284524,5.54716034737221,5.605922466161842,5.673196801353444,5.8689517477497635,3.5928626526514367,4.661831024558572,4.535652732561902,4.421460879826208,5.359872862769773,,3.2925505685471372,5.935288605390175,5.570922308924416,6.355316334451959,5.9500295790264355,5.473683422205095,4.512586014983773,5.545162014894523,3.5574970576072316,4.929078384793144,3.278862192667972,3.625960102052207,,5.665842104500539,4.661305544244122,2.925482137828316,3.9811327264767145,3.913770489387961,4.493873215580704,4.049814424731154,5.556193945288654,3.7183620677790654,5.002751685562043,2.7197081070423224,3.0820879058224855,5.310126178221629,4.2216701768885105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3.0409901684113123,3.8282537076428085,2.758131004659334,2.034214095439638,3.474059105802172,1.4290886468172312,1.1571866326203268,1.7288540684997316,2.9945126107864874,3.1848818463139477,2.3061366435464876,1.2810889612270908,3.8004555648885745,2.278423352733111,2.1128681698458966,2.809192495886614,2.6767866277664543,0.9789056239588413,1.182380981177017,3.1309149148991158,1.407508129249723,3.5362884286133056,2.5141676937974284,5.629276670759806,2.6528686836997672,0.8433698243056553,3.0176624822129385,1.9537232663394972,4.449595594404637,,2.5531907621120977,2.500678207243995,0.9340208939066686,2.252541087675875,2.4544664016479176,,2.155328162254391,1.9993094744857072,3.1340151645321526,,2.196807575440088,1.9785350563132393,2.892365132129455,,3.4204803843743408,2.1024903174254796,2.8615239861366883,2.324533755153648,2.4955480505764234,2.8838862419619233,,1.992179047133668,0.6335962629383407,3.28979258434281,3.375199204623121,,2.979751085028764,1.2808108169741377,,2.382112820970478,2.4633356888638933,1.7248687422142666,2.151953752429871,2.0521350097673206,3.278098367295767,4.308740012763291,1.7046676051686327,3.765790825838906,1.8566382651175495,4.386994806814577,2.902794223014693,1.9829929483477535,1.686351858790141,3.766360058884075,2.6549090681646734,1.917628522915397,2.864833314328503,1.7864346212174995,3.2376269567450695,1.7833681878895682,2.6816257186027537,2.600152393431433,1.7779324286433762,2.784478770368553,2.0428535224958297,0.7375890779145144,3.575870390306809,,1.4713707845293549,3.516945677390206,1.684725872761521,1.7049737306273904,5.048189060954968,2.7085067353805083,2.0176203831831594,2.9716842023030154,2.796507442905816,1.1562875383467324,2.2758567347798095,1.3695072390642196,1.1278075734263922,2.873795908893368,3.628193955105158,2.166315284379568,2.8374265486227497,3.0049590891139917,,4.117647455926634,2.4061128700906247,,1.9298524155992545,1.14451142166569,1.9279873767026718,2.8544374101034644,4.706087603780113,3.9239476737686574,1.6710321665122887,,2.2638340262601573,3.0785055569524022,1.338544672900761,2.8812691715243672,,2.7920026471750283,2.3049449027453406,2.3707378470697513,2.854775180213302,1.8828718907679096,,4.233922363523698,3.894298448007589,2.4354024658644815,2.3199345390502732,2.3574552031096894,,2.382124089074338,0.8904917091987319,1.8761825611841363,,1.139494337678284,3.4823727818873302,,,3.084426369677289,5.189906017109272,2.24638888093457,3.054693462836262,2.5690361798011243,3.1785209382146697,2.009315536209239,1.6203184915883369,3.2371242673646408,2.5266403711405196,4.706663072459842,0.750021739816085,1.9531558882224223,,1.9325541627657579,,4.321188252044014,2.0989309649977246,1.691279402193974,0.5723687825180676,1.9105414502356979,1.8809987029273747,,4.006527390058981,1.8803958894561086,2.486828262596555,1.2669341428235907,,1.2389956194182095,3.389736640373197,1.4689773029331168,1.034351220224792,2.9077163984029624,2.3664369340554807,,2.64008891749104,1.6412573933741181,1.6581578976586822,3.936290681514886,2.340355311115035,,6.176942812364489,2.1591852907758304,4.539582605764311,2.111572877009276,2.328552674410351,2.2888843226621782,0.9070929267430867,3.3597094078520495,2.0969231761717686,2.884448564075081,,2.328655176454637,0.8330772770946011,1.992346384470756,2.590502837014554,2.4995630428465816,2.920101550884181,1.990706795671881,2.5573849530800152,3.149596134727913,1.6708029366485682,2.012159133540645,3.116661745324168,2.966644596949272,2.0630561374709364,2.8315914998933653,2.616298782593589,4.143406321019066,2.8139008963707117,1.2092068703521308,2.7229028622248075,2.693530115702194,2.5708348138043946,4.000256397809729,1.6402113060500416,,,2.8086144952008865,2.591916533508061,3.3201899573402835,1.5530588588258265,,,2.379238735526858,1.7939861782779623,2.5656827020829573,1.9128795556928782,2.0665584517061744,1.3914902874060087,2.423682994035427,2.8587478787830753,3.48630359821937,2.1806120458841307,1.7519454732635753,2.486930578140327,2.1579324211266417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.6313179253512429,1.8273987856155085,2.1388941358128393,1.6706739868401155,1.0455066138779086,2.4682160886624556,1.12540579504994,1.215544763925479,0.6363236383895564,1.6296939670673287,1.5974984606319673,1.3320184098234995,0.9246868341281479,1.9240665387506826,1.192643310425152,3.0415791635481435,1.3654671197099415,0.9598399408556387,2.1827678851309553,1.572594198118227,1.6936370501599185,2.4375726258074173,0.7624849999032977,,1.3189077058677334,1.889576699620049,3.1060885343422813,2.3493652578960975,1.9430557079767374,3.3234242534650575,,,1.400082480717137,1.2192535749783526,,1.6739679466450417,0.9916426520118902,1.7227589214512353,1.8948471568606682,0.4424394241585182,0.9108432691273176,2.4318060521878624,,1.8794342831068434,,1.3001439598589544,2.5881841849783997,1.4143220198815325,1.5038937439858608,1.2957911516239569,1.0692055965724658,1.882662931777713,1.0120090184243216,1.166289768752261,1.9052996870376677,,1.6565774771188526,3.1781272854763336,1.606728820618884,1.5266209326116202,2.5712031034972456,1.499868525893165,1.6919060443931593,2.5115680177562276,2.5739480868010784,1.3380760689796514,1.2724948997047725,2.40948343603029,1.3391668937010814,,2.0913905427702244,1.450472886333497,1.4817478370884287,2.566674528499882,1.2693040642799072,1.4195221215914373,2.679126894497584,,1.9851784380458644,1.5081221806486504,1.5424923565021773,0.7997089399050845,2.067541945218995,1.654220758762102,,1.9678340622647166,1.7091380652791208,1.8154635844484799,1.6460195757808913,,2.610932734383552,1.6592463635815662,0.871891737086013,1.5165738600460024,1.510683535541257,2.07738759487761,1.868431962475157,1.6864629449817492,1.7506637298171734,1.5957658965193438,2.5115439925769567,,2.78474511446152,1.1692953891025837,,1.7581442500306377,,1.403113245174836,2.651606048067521,1.3887364056773,0.954490415288773,1.592929282610343,,1.0466014889394892,2.7789501590756513,2.056130538657119,1.8134281807637802,1.5235482942491176,1.626318987175955,1.6074883493730339,2.0596437396974454,,1.302599093436012,1.774682795637572,1.0665155087302685,,2.0253059542197858,0.8701954851123634,0.9453144663078762,1.525655369102318,1.3246989027216536,,2.1288267516640706,,0.4357662966819869,1.056270556279455,1.516770594245606,,,1.734526501021345,1.9060650550165108,1.6068164723698513,2.7171617492168094,1.9174795577969215,0.8603553171280579,0.8634060516380327,1.3686273672864633,2.591402706469159,1.7860616929506452,2.0600742834548917,1.9056686907973992,0.8469559083943542,2.547157893684009,1.782038184101646,1.0464596355913973,1.1281416140733775,2.7805336700904038,1.7605495366202004,0.8415165806764886,1.204566823793262,2.194370797106962,2.0204539906355268,1.2257885807215179,2.072909044474247,1.8666324727591317,1.6390066085197115,2.4903546878072356,2.3910139468582954,2.5098167983916215,0.8611052799966605,2.2543493795019134,0.5736897008606087,1.8409493670039496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
