Lengths,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
4,0.0017204801130046299,0.0017036074965277592,3.95344530781383e-05,,0.0006188126463092525,3.741675948454315e-05,,0.00026352943749685664,0.0015655200817152881,0.0004471469333666711,0.0019558208824295154,0.0006298022733108866,0.0005656462755521119,0.00047184311273706925,0.0010773906067953476,,0.00037729089817162276,0.0008520779711531645,0.00013466631976921661,0.0004968349133447347,0.00028814411380095883,0.0006063871806075427,8.62816628566243e-06,0.0009537089832222234,8.035583525245471e-06,0.0016578335579084946,0.001101543108238734,0.0010031547643194472,0.0009491746802652301,1.5949293961314837e-05,3.3786453897732827e-05,0.0016127429795802506,1.3338029383636041e-05,0.0008020610288710373,0.00032288800696134157,0.0008440629406362143,2.858484026829755e-05,0.0015502935561677589,0.0029005555251367388,0.0004386032081902247,0.0010832752802312218,0.0011889243402201655,0.0008443894724117218,7.2225743181775215e-06,0.0005395632538895967,0.000593818722592232,5.854076392530771e-07,0.00016032014065503475,1.1418657853035086e-05,3.6818405177996283e-06,0.0012204112439984094,2.8268329632652467e-07,0.0009581282593909002,6.292514532169058e-05,0.0013607217456748089,0.0001732663267342005,0.0014226004208904852,1.6937584780274406e-06,0.005286418074218258,0.0005659212945789971,4.426610082930438e-07,0.0001898658384584806,0.0028473822725736397,,0.002029386750493245,4.3782077753462545e-05,0.0007464943674850844,0.001173923100353108,0.0022172391762111943,0.0004098338380421618,0.002273308837764887,5.394402897374029e-05,3.622206457967736e-05,0.0014866684812391284,0.0001148471072003332,0.0023220227146323325,0.0007971953840855694,0.0021134853724458225,0.0008710853246451933,0.003105567486912486,0.0001366688247337322,0.00039894930420558694,,6.83755671637698e-07,7.277355805968e-06,0.0041758833811060825,0.0005661565702526072,0.0007662160949415409,0.00023058392769925717,0.004191352816393268,0.0003233882982445202,6.064529749494341e-07,0.0002496028511607129,9.865797412356159e-07,,0.0036630878012726686,0.00018350122501331612,0.0020554878347414096,0.0003733701750707752,0.0006840717969371912,0.0004583504473094635,0.0003430308708143315,0.000887488507542944,1.9739090433290585e-06,0.0006744616753471266,0.0005045490887658488,0.00011867291870615304,4.7875747391845636e-05,0.0015617236366201048,0.000388454345109035,0.0015460346250898427,0.0007986756181481702,0.0003726835187053412,0.001802649852257865,0.0010444472988702103,0.000938222364087915,0.0042437550329956775,0.00035883404735886915,0.0007288102443565592,0.0006799499166865175,0.0020237066046676633,0.00011979279988771907,3.6337676689868204e-07,1.3512923594305448e-05,0.0009218872409963996,0.00041452043152923057,0.0002941445809803156,9.555966163032892e-05,0.0023954134780193037,0.00265433247427449,7.666483669765967e-05,0.00019416182870202192,0.0001125862794953969,0.0002711688518850508,0.0002998297418741469,0.003905270110638792,0.0014098555733486062,0.00010779392314219649,0.0029294925959849616,0.0008417257765891417,7.877168713044114e-05,5.1390552268132383e-05,,0.0003738163147950502,7.230498681543018e-05,4.02728537252095e-05,0.0016345285425113376,0.004378173656281792,0.0025789887771011655,0.0010308216226620481,7.653485694980589e-05,0.00023447779488061649,2.2412307875363524e-05,0.0009977524246242986,0.00025975989188253834,0.00415182672161496,0.0005002602709707205,0.001770024561154493,2.0266853004713425e-06,0.000717356007684522,1.4104088035482576e-05,0.002104021918869048,0.0012617252656621503,0.0013119591739751968,0.0019719381132187186,0.003644247096616482,0.0004844008503870345,,0.0008208061413332857,0.0012157192127695282,0.0006644712850293333,0.001738904900403071,0.008075954218874859,0.0050538175994194745,3.4781597731292635e-05,0.005724928735349355,0.00021107733521308347,0.0008688881298419826,0.0008653570052337134,0.0006840201084048481,,0.00024681108022445164,0.0002076158222721336,1.7702717780565536e-07,0.0027214402268356253,2.0955266804012496e-06,0.0009077671715476132,0.0024691945508263924,0.0013170626023999432,4.214562523330301e-05,0.0009077847908818271,2.467417488105639e-07,4.2851166609347846e-05,0.0010844119503401473,0.00013639938734044676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0001297112471032591,0.0016772624945578518,0.0010713652805991458,0.0009480728871780197,0.001519994883139919,4.7423206940955254e-05,0.003975322310690643,0.0057423534201266335,0.001681913371463395,0.0005366857290770577,1.904686492171237e-05,0.004174865599350319,0.00011725124355832506,0.002451991763926742,0.004345636141312614,0.0006623376933312386,0.0024051946653216305,0.000563615484283353,0.008706719718002187,0.0006829130472993938,0.004510858241312032,2.5999528758535728e-05,0.0005151630348914082,0.001723930356073211,0.001993188599506368,0.0016774294919228439,0.000641236446671023,0.004855971347175109,0.0007501949065433777,,0.0012389939718099874,0.0028097122003805097,0.0036477395055118933,0.00020549885356757613,0.0012109374419804197,,0.0002327522906853119,0.002449678421484691,0.0010387917180998407,,0.009054272893963322,0.0052433869948265155,0.00021202543781750904,,0.0008976491773040607,0.003096967836670572,0.0008280865996055375,0.002624925173753123,0.0006806193060979737,0.0008090663122413133,0.0,0.003867170900207384,9.238703886915722e-05,0.002294204264691402,0.0018504170611226556,,0.0006688640092566978,0.00013487944412471364,,0.004864880526672888,0.00037034663817969715,0.0016434839518981725,0.0004298518714033195,0.0004684817596141144,1.1823299756574812e-05,0.003994383030250681,0.0005624435891604662,9.379106173135199e-05,0.0009924074544984673,0.00010803183056529164,0.0009824239526006195,0.0011580144036178464,0.0016742122079054234,0.004543936594607806,0.0036801632855008037,0.0009459931962707557,0.0011091957260740415,2.2157007316003785e-05,0.002455244066747131,0.004884406275463604,0.00043833963227601913,0.009220887625597474,1.4162931840644433e-06,8.643874345182212e-06,0.003067716154079747,1.531811577670794e-05,0.002300581293328108,,0.00837178441665376,0.001973717381369422,1.635543680311713e-05,0.0019340515776624656,0.00025829377188424374,0.0044212296405898854,3.143483556256044e-05,0.0017547631287764265,1.1538181077241916e-07,0.0007100673406585933,0.0013486099725037448,2.3870745735621313e-06,4.742668090029767e-05,2.0347329795278313e-05,0.006043085838813855,0.0012878753481295746,0.002272908128887252,0.0014841297514336382,,0.0005728762492644979,0.00035676055959577013,,0.00017027266413593978,0.00012746348313807943,0.00034730530498083834,8.010918941936396e-05,0.0024800224345997712,0.0002336254825414663,0.0010846266731463494,,0.007480334953896772,7.264809086215962e-05,0.0019004229311674337,0.004685700446622754,,0.0006905558539691548,0.005479878150257911,0.0026182551994171632,0.0006932966264989737,0.006947465713435186,,0.008206098055017819,0.00018732943129950996,0.0030998137911391055,1.8567058286400595e-05,0.002114166536330675,,7.36701911918658e-07,0.002426614672339067,0.00020963108600113856,,0.005851569244443411,0.0014925194232482397,,,0.001288709816392286,0.007745316965657167,3.415359046421429e-05,5.311514818728824e-05,1.2661606849873053e-05,2.5342091501290298e-05,0.001063086287274917,9.376319063288119e-05,0.0011397388841144496,0.0012072755646391209,0.002521103823042381,0.0007724488966474041,1.5589724462694576e-05,,0.00841427303925002,,0.002678214461020456,0.00012572297775648167,0.009577214895861275,0.00031498032874566206,0.00046537981589978017,0.0012498656950006293,,0.009175193326944608,0.0015550241689159527,0.0016586012715067433,0.00011734415571496015,,0.00032611436698015694,0.0035701356921507,0.0013997240951457712,2.5228311174352314e-05,0.0008173285845591849,5.921820224630281e-05,,0.004977468809189922,0.004370781099652998,0.0021788802598985413,0.00013050295839656112,0.00018919142758910823,,0.0016304206478556793,0.002551918585210089,0.0027884658282459895,8.756899662287765e-06,0.0026522523500576156,0.0011503756616044747,0.0006439302109200185,0.006408925107261432,0.0035008629551693815,0.0053686794387122205,,0.00029978930554386274,0.0011321348232411488,0.0010691868612990874,0.0002575835835405549,0.0008255706157047626,0.0002883486959923687,0.0001729379603352399,0.0007045348222900483,0.0014504007719744472,1.914462726126942e-07,0.0017488426336980112,0.0007154407407441304,0.005332625325746854,0.00033844231929514024,0.002631053590632426,0.0008026754108280132,0.003445132451681765,0.0001879090006888795,0.008629477691592502,0.00012589247074856758,0.002184044284291975,8.044808293306005e-06,0.00048826934918633214,0.0007608093947615302,,,0.000305933155349436,0.0005616990003889377,0.006846081268563786,0.0002518366258135174,,,8.455239476345966e-05,0.0003272674297011835,0.005859739641560502,0.0020114409740996653,5.316506843655588e-07,0.00019967084855487816,0.005513785023270046,0.002629840659597704,0.006083320804153303,0.0003314689066313825,0.0014674610270777322,0.0008472385798246052,0.0030378880363528538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.569242688044149e-06,0.002720104636775744,2.5964496905617196e-05,0.006638174369099303,0.00010933145953551104,8.254853986855437e-05,0.00440474393832524,0.0020480958627420165,0.002487017874599484,0.003346029567440567,0.0002615726147356945,0.0006321644827051998,0.0011501817594741226,0.0006037258441358162,0.0038786724135349004,0.002979626173971184,1.948234238824398e-05,0.007059627399869761,0.0002313846085256338,0.00044782529211850886,0.0011734807241918777,0.0024046041142149477,0.00032836660574098175,,0.0025255299581665724,0.00018186559494859367,0.0015941514620987363,0.0023604357500799367,0.000516804008373839,3.0618866405873746e-05,,,0.0032755488210600703,0.004742559345950692,,0.0023188046597262257,1.4223859631457003e-05,0.0013747911813819513,0.0010034810571344366,8.057119772741927e-05,0.003147269350410653,0.007743951618602196,,0.004498357864733293,,0.0033622926141951837,0.0006938932934232867,2.078446668996037e-06,0.0036796198997031127,0.002817946816461969,0.00277568646042492,7.706153289177564e-05,0.0003216352053243554,0.003937472490838978,0.00014649121160204004,,9.983057086082603e-05,0.000491856598972884,0.0005695088358770306,0.005818502082052035,0.00035792867237738335,5.793256280028913e-06,0.0008095753855772436,0.005723052320464994,0.0003425294125580791,0.0001102690327580702,0.00039253071470857215,0.0006176676747067233,0.0006520503689744217,,7.936963758226057e-06,8.156389035818279e-05,2.6323207563461182e-05,0.00014711744577611263,0.008142502247632244,0.005167118681015381,8.78153396399739e-06,,0.0009249948608878178,0.0011712307519295972,0.00027823958014217,2.9468266312449032e-05,9.112914607101175e-05,0.000549495396744426,,3.666240949051769e-05,0.007249705603307177,0.004263140233360829,0.007913519669187963,,0.0063764139575255285,9.688895584558654e-05,0.000500686531268002,0.005424927577610816,0.00012706998191625019,1.281207013015262e-05,0.007816380584513283,0.004026863615356646,0.0010525447790108444,0.00020894128161219605,0.004139612195512399,,0.0020120028063370654,1.452645932431551e-07,,0.0009572538996496238,,0.00021515362839630292,0.009644193224142228,0.009452364645481381,0.00023322342854115163,0.00033796094412075206,,2.9532829972644947e-06,2.249223832406777e-05,0.0010208769226055514,7.08592946629949e-06,0.001167480653677444,3.006452757858824e-07,1.8039460840668653e-06,0.002790235595929502,,0.0010861572682694387,3.552774365811473e-06,0.0030002519442984266,,6.212555963003297e-07,9.495876723086827e-05,6.781751051843088e-07,0.00771752687441829,0.0004633669961050524,,0.0020285982338137387,,0.00033062508405024005,2.20730299307359e-05,0.002088726539652974,,,0.0035685559928797517,0.0026812202563366583,0.000381033870753944,2.3109239645879853e-05,2.460403394621835e-05,1.822371492288255e-05,0.00041037569727286893,0.0009779838998813517,0.004048795441857322,0.0004801604717714625,0.0011058458422379402,0.008413547439350744,1.8991029610226917e-05,0.00016131273176966943,0.009920799147320025,0.0009981277590788151,0.0022776724320010544,9.941698094095841e-06,0.0013220792055435027,0.009627953365276554,2.054441070775681e-05,0.0007397624452893936,5.590553885317928e-05,7.44867674207228e-07,0.000288342024673538,0.0017551344860935458,1.1920955809152645e-06,0.004149840921600978,0.004620897529036938,9.909592257439925e-06,3.0694508899031803e-06,4.4951552117478144e-05,0.00016512504000765205,0.0025374664702226823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
