Lengths,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
4,5.082662726006853,2.6432450252654287,4.857413958737533,,4.2028603182660795,4.381995529029444,,3.264314888782902,4.989502967416671,4.079355203023388,4.431368913245429,3.6142551543312886,4.119002849865933,4.625611490752232,4.530833003651349,,5.011527416191234,4.579117462987988,3.3839983374293783,3.7459449093147836,3.686529083933213,4.156117151097815,2.5095595307778527,5.112782121601247,3.4398004011203316,2.823262032143158,3.4304192488518295,4.7973400957773285,4.014823411301982,2.5337934831985995,2.4273429459469598,5.116462589918938,3.495076312428517,2.8945544705907613,5.050011247547127,5.075649964053919,4.218840230253189,4.507889681710186,5.405083782885374,3.0676472666245975,3.446047851518412,2.5784978132103005,3.0046255231978036,3.6900503200166788,4.169005339343506,4.919287018705706,3.137046626487343,4.179603551279855,3.698436909234449,3.927508851391943,5.099234508564784,4.110933304531101,4.988478939351453,4.22260149511185,4.233436680400735,3.3738143539212873,3.1833342011664656,2.839983560098644,2.2610456783163637,2.7790462729363914,3.474322374513509,3.701618497453572,3.835285010079074,,3.7731156168974014,3.559870670874024,3.1560498416924236,3.857487042489573,5.095211459622942,4.520526700206284,4.008543675068593,3.0383836591208873,2.6880827650455164,5.4803705263220275,2.7018479261140516,3.314485682044653,3.5716824533537177,3.6241542881059385,2.98706770402063,4.737420629356594,4.025401749979946,3.298356588539422,,4.416534962881871,3.2264801463067645,4.942492052963994,3.991865201762474,4.362447293137065,4.070011058538165,3.4548035339084495,3.869793186577416,2.446573095719801,4.478099986283407,4.632854299265646,,3.4349533961126055,4.603760770590593,2.8217399452684555,3.680192606479098,3.8964071215005434,3.856957762998882,4.604259801075397,4.4742893603033815,3.5443664836166637,3.573669698448031,4.992744590256793,5.009554938686276,4.917923717669763,3.686995447689354,4.1696342656614505,5.1925886267447625,3.881176346932986,3.2992477590925375,5.320399108017712,3.4611956409737537,2.7823557948792055,4.320270640519557,3.5211470210078946,5.038563152726769,4.692189532755903,4.319008883641999,2.8495840750224057,4.58305293123311,3.521151637545629,4.276405308210688,4.375064650698256,5.346692852761094,3.9636765837329344,4.123872419171653,2.626011887762873,4.6499687110533605,5.413149299376167,3.1800637867891184,4.305480682756338,5.124225162695817,3.244321625041567,4.312862744662018,4.717877604052017,4.145900213375995,4.551054251310975,4.825840643032648,4.8113626717115725,,3.9795335333063204,3.3827303410413463,3.151463574795278,3.7819780755552967,4.933644584128441,5.0782428596488325,4.204640409571477,4.47842549073808,4.484209553692506,4.286539617179168,5.163575152277391,4.4470035920018915,4.257677176882104,4.3673531604662506,4.960968275969766,4.834544915538406,4.916855265475973,4.994414020016593,5.1815241213181205,3.075974319443992,4.18735998179035,3.7995051570121663,3.7181236301263803,4.6939630979109825,,2.7628590578464314,5.060287509989524,4.759321425912328,5.187943542526142,5.305385961653379,4.772098066421188,3.8570940391606245,4.641969634221088,3.239420840285795,4.1434177851256635,2.7647773724768143,3.1392193524377183,,5.1081280746296915,4.074656727531424,2.55088106520602,3.608773831521239,3.299198674256766,3.809764194479356,3.5028200951937403,4.8115032107119005,3.3009282516249074,4.262528400032006,2.4171130574019744,2.71597629265952,4.814519767259371,3.7227597611815737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.2976525952117868,3.5072687457784717,2.386355666853472,1.8416587724994349,3.146358862775347,1.1801760528409595,1.0361433018476058,1.4375126406678147,2.382565851487511,2.964031534943723,2.0854702213474443,1.0874480196643919,3.4074377310967514,2.039649825816365,1.8859481919238943,2.507785236857191,2.3456177297740792,0.760607018765611,1.0982071953474364,2.801861631385263,1.2606212123802911,3.1759298635193436,2.18456154589252,5.114334708621223,2.314192788978394,0.6730356848689485,2.6543011436232153,1.7443978333954948,3.869099681459998,,2.4219408030188623,2.287555465305081,0.8958624813100199,1.9877716453768368,2.1276049373352826,,1.8597559129349301,1.7290326597253038,2.7489517976808235,,1.938635767998866,1.8934958100809622,2.4945064637142154,,3.0304661164045115,1.8930991648736388,2.4659599221167934,2.0689727163587412,2.1750203068630825,2.5897667985533745,,1.678095255588925,0.5316853229880949,2.9086397784014175,3.027044137619286,,2.629830204903544,1.0613052831322471,,2.023309334974814,2.016615691880244,1.6045347253791993,1.9970362334887977,1.75383527626815,2.918149170545894,3.9417026391385366,1.5568935002034472,3.380368988778914,1.5443801297873203,3.7741735121189297,2.5263097150880904,1.8208016889880076,1.575681214025607,3.294111249892836,2.3634205723159503,1.6346899549838136,2.253074086322675,1.5068280555138163,2.83539851408525,1.552352964307761,2.411310729872352,1.9453004294017104,1.5657561951819694,2.5574011664028493,1.7068998453857642,0.6568702250717968,3.1638690418287108,,1.3199450765115368,2.866907225031785,1.52174884174967,1.3987350028698748,4.315596142567076,2.315342215019473,1.879150735108597,2.6524376208684153,2.5664470140608904,0.9484853517136385,1.9207317006343385,1.0774635971241107,0.9685458878756423,2.4675453178960485,2.9105111732797146,1.7738959541560633,2.6221106616597885,2.60119490780896,,3.5721518098707357,2.122016286688831,,1.7713469405676467,1.12252122183231,1.6975857699532027,2.295708853861845,4.190689696674293,3.257249623679189,1.3788204179212307,,1.9499236707298992,2.8429969555504835,1.1218780660235643,2.601879613302179,,2.5166797144566573,1.925806599850448,2.1832771155837887,2.4573441569493415,1.5001716469305595,,3.5449575904392043,3.4657924200529027,2.0993878839117035,2.071199706932852,2.1297496825873456,,2.279112242501637,0.7352000092288965,1.7316752247201037,,0.8639400249297103,3.125977573911164,,,2.712792336907168,4.643544292103839,2.0594406335517217,2.640629704430103,2.2110200202635983,2.761002467877953,1.757356474138475,1.4215773365619209,2.802744372293127,2.281861424936829,4.215790022604501,0.6613605183681118,1.5966808900615517,,1.6804029494016128,,3.869063454822261,2.0010912289564358,1.5774753902683072,0.5058397601834153,1.6232057981947707,1.7008468895536204,,3.6339143414928863,1.41897536876084,2.2922560586652616,1.208953198781583,,1.1020109838559922,3.033351268323645,1.3791874899943446,0.8389163461089238,2.5895419612228263,2.1232618145117135,,2.3780303454298006,1.3952554804444761,1.5374984733655492,3.440376844523681,2.093063717495617,,5.545698049453079,2.066892110703902,3.9950478355126555,1.7781435407573813,2.0801219446309225,1.9293134064454898,0.7578905446288833,2.677270333280223,1.8714030601065694,2.5226197988909687,,2.0378156708326203,0.6359793802496605,1.5684206004652534,2.2281923485265773,2.2814090286751734,2.550329857444464,1.6879061642053714,2.224108849054227,2.80331636441482,1.4748757034646198,1.7336672453642166,2.784688090470025,2.690539373268216,1.8984903043433723,2.473247975689141,2.2939425099054787,3.650126682239714,2.430709904025315,1.0909209399314415,2.3323128702304885,2.083716761039197,2.2247883562952278,3.517882599901177,1.3047129986526451,,,2.4731040072105706,2.2572645113675796,2.920265849072562,1.2153554435722724,,,2.1436677634889656,1.6012585916462616,2.239474591879578,1.7118390059298927,1.5993407464926976,1.1190863667529003,2.171132809575767,2.4491342187280174,3.1457982535402915,1.9389660603044492,1.5520523917443394,2.2100496110070247,1.9458382650957264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.347050134242542,1.635060305936899,1.847555761571573,1.477534491624268,0.9281680773981396,2.2312870536014526,0.9743340227029599,1.1661907675849232,0.5630208314453583,1.4705721325724121,1.485286129083186,1.3257572332973866,0.8427809685939374,1.7073786112040417,1.0102230816526765,2.6980990102800533,1.0990388262420003,0.7291631325653759,2.0462890537684677,1.3721195534870083,1.467775125059876,2.2224938243773984,0.7697994056623827,,1.1333019322078435,1.7053577392400434,2.794842520704822,1.9482306813458619,1.715459880367149,3.0205064550519696,,,1.2819033019338495,1.02145270703073,,1.4230712108159747,0.8823896718953738,1.4808470686898947,1.6269538410838735,0.38334255254033145,0.8502559833974479,2.1896395918290295,,1.6190488134303633,,1.1381406041008901,2.3677816816574238,1.3606530630512887,1.2952536749131138,1.1098807050262227,0.9813298978335744,1.674300086363948,0.9335252165166018,0.9450078201195807,1.7512120245916052,,1.4424714305667854,2.811550361482385,1.4132576223608302,1.2545950226416225,2.2600196229842395,1.2767508198536355,1.4334691626315383,2.275401824485632,2.2604053463597253,1.2205313962751732,1.0660266529080664,2.1364017153577115,1.2118963271051173,,1.7927012263018491,1.1781738681152136,1.330941292870898,2.263865147328429,1.0201772793064707,1.2144728504468758,2.349709995274025,,1.6946241011434255,1.3010403189373554,1.42122215541949,0.7062321908073627,1.8829261346535342,1.4723195636099073,,1.6890177657987433,1.5467064540632802,1.522769359484378,1.507992945146973,,2.2409260555703585,1.461101510942579,0.7129945248690146,1.4042283172953576,1.3732466553411948,1.9542251087765719,1.487942046439614,1.5775658934222796,1.6011478371666739,1.4186921000871584,2.2018409348441694,,2.471287301677236,1.0126461490501781,,1.5139741448637558,,1.2130563246692756,2.2126922257745205,1.0236429757747312,0.937936907209446,1.4040734986893297,,0.9494063154099791,2.466475476631767,1.745447821426751,1.6468928113690966,1.3357279835582752,1.4879078984602352,1.3935603783819162,1.8586791396644522,,1.1922315112578399,1.608514224181637,0.9685879585039204,,1.9695644368503107,0.8154452401067445,0.8469782201052477,1.303693792358073,1.1925414611963412,,1.9825907155358096,,0.3610047092349303,0.8950730460742647,1.342964456246134,,,1.4991257322977825,1.7419001271587353,1.3822477135397526,2.3520378884925663,1.6500601841756686,0.7035968823475808,0.7522694671200822,1.1579816797891265,2.2620423287803293,1.5881446157028913,1.8279775002908079,1.7732301778549224,0.7152128237756714,2.265111346021801,1.6155381197202308,0.8852868697770521,1.0076523653108302,2.397778326331664,1.4966977426700103,0.6566590239151988,1.0739225825377094,2.0150980252015045,1.7748825084662114,1.1000151047085558,1.809192773391794,1.593779645107477,1.4123969883171263,2.120309823806157,2.011935070392792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
