x,y,u,v
-0.9333333333333333,-0.9333333333333333,0.09095789429467442,0.034361927037747916
-0.8,-0.9333333333333333,0.09140562620094736,0.03386387590135167
-0.6666666666666667,-0.9333333333333333,0.09447993795805834,0.0324470260435892
-0.5333333333333334,-0.9333333333333333,0.0999616169286035,0.02962165095795284
-0.4,-0.9333333333333333,0.1080077628957362,0.02356672802344773
-0.2666666666666666,-0.9333333333333333,0.11852345348007574,0.011477121702086967
-0.13333333333333341,-0.9333333333333333,0.13020890445213215,-0.008926137277093304
0,-0.9333333333333333,0.1402589776627202,-0.03590166861558976
0.1333333333333333,-0.9333333333333333,0.14609255958891051,-0.05989612519226639
0.2666666666666666,-0.9333333333333333,0.14734493264043425,-0.06639548678106576
0.40000000000000013,-0.9333333333333333,0.14281861630593368,-0.048206937338962405
0.5333333333333334,-0.9333333333333333,0.13057023268322834,-0.016353198587655413
0.6666666666666665,-0.9333333333333333,0.1148340076097958,0.010947552222679636
0.7999999999999998,-0.9333333333333333,0.10182387286993741,0.0265484517409829
0.9333333333333333,-0.9333333333333333,0.0940123045523991,0.03289182710655472
-0.9333333333333333,-0.8,0.07856132859428036,0.03195668161671002
-0.8,-0.8,0.08564006947364297,0.029067243803958476
-0.6666666666666667,-0.8,0.09384510665032189,0.025927436937797973
-0.5333333333333334,-0.8,0.10263383232619287,0.021627134088013276
-0.4,-0.8,0.11144693003486254,0.01442255659104935
-0.2666666666666666,-0.8,0.11918654241060674,0.002227525299274594
-0.13333333333333341,-0.8,0.1240055016702557,-0.016221520974016617
0,-0.8,0.1241511798077237,-0.03926386496768205
0.1333333333333333,-0.8,0.1199401940411549,-0.05968584880971809
0.2666666666666666,-0.8,0.11378331398799985,-0.06317907557968046
0.40000000000000013,-0.8,0.10267980190221786,-0.03712520391978166
0.5333333333333334,-0.8,0.08600177970660358,-6.985913624452322E-4
0.6666666666666665,-0.8,0.07654163981165067,0.023329930937207255
0.7999999999999998,-0.8,0.07259101636480372,0.033381003134548816
0.9333333333333333,-0.8,0.07364087905094027,0.034283502481699174
-0.9333333333333333,-0.6666666666666667,0.0653299608095094,0.021680274046545753
-0.8,-0.6666666666666667,0.07890119704948689,0.018579056648688228
-0.6666666666666667,-0.6666666666666667,0.0912042881470585,0.015726956178702595
-0.5333333333333334,-0.6666666666666667,0.10191392494757504,0.012245360097948098
-0.4,-0.6666666666666667,0.11012248668748881,0.00693200589901869
-0.2666666666666666,-0.6666666666666667,0.1140524448771006,-0.0015045671860063556
-0.13333333333333341,-0.6666666666666667,0.11120653973179759,-0.013911008980346657
0,-0.6666666666666667,0.09922995170414374,-0.02974451629155624
0.1333333333333333,-0.6666666666666667,0.0779694936900484,-0.04519971572411827
0.2666666666666666,-0.6666666666666667,0.05045412833825853,-0.04535249149077709
0.6666666666666665,-0.6666666666666667,0.0168133423054275,0.0139254313396085
0.7999999999999998,-0.6666666666666667,0.035621192581050204,0.026627529058813718
0.9333333333333333,-0.6666666666666667,0.05071340914462842,0.02515733989678057
-0.9333333333333333,-0.5333333333333334,0.0578037474828064,0.004748954160743189
-0.8,-0.5333333333333334,0.07501055063806969,0.003957193330354102
-0.6666666666666667,-0.5333333333333334,0.08937971694192952,0.0032696322482809828
-0.5333333333333334,-0.5333333333333334,0.10088641198411348,0.0024635609519742876
-0.4,-0.5333333333333334,0.10854019264094081,0.0012764538435920726
-0.2666666666666666,-0.5333333333333334,0.11024949509404962,-5.742072130028064E-4
