x,y,Pressure
0.5038525013235886,-1,-1.558434902666262
0.4968229248832863,-0.9877639504499747,-1.5399567809807613
0.48979334844298394,-0.9755279008999495,-1.5214786592952605
0.48975650801095916,-1,-1.5318222842132703
0.4827269315706568,-0.9877639504499747,-1.5133441625277695
0.4756605146983297,-1,-1.5052096657602785
0.5320433500880106,-1,-1.6089104623554806
0.525003862387214,-0.9877595171642113,-1.593560037751051
0.5179643746864172,-0.9755190343284227,-1.5782096131466214
0.5179479257057996,-1,-1.5836726825108713
0.5109084380050029,-0.9877595171642113,-1.5683222579064418
0.4686348429265066,-0.9877453343416459,-1.483542709156871
0.4616091711546834,-0.9754906686832918,-1.4618757525534638
0.4615667118913376,-1,-1.4764435375518787
0.45454104011951446,-0.9877453343416459,-1.4547765809484714
0.44747290908434545,-1,-1.447677409343479
0.5602324558194316,-1,-1.6572847940532818
0.5531905699160702,-0.9877300429039699,-1.6446839633443902
0.5461486840127088,-0.97546008580794,-1.6320831326354985
0.5461379029537211,-1,-1.6330976282043812
0.5390960170503597,-0.9877300429039699,-1.6204967974954896
0.4404216938176262,-0.9877047790811817,-1.4238688088849583
0.43337047855090693,-0.9754095581623633,-1.400060208426437
0.43334420423992825,-1,-1.418618363492984
0.426292988973209,-0.9877047790811817,-1.3948097630344631
0.4192154993955111,-1,-1.3895593176424892
0.5885380053942071,-1,-1.7019884805384642
0.5814679151151494,-0.9876708437262354,-1.6921382627496584
0.5743978248360917,-0.9753416874524707,-1.6822880449608528
0.5743852306068193,-1,-1.6796366372958729
0.5673151403277616,-0.9876708437262354,-1.6697864195070673
0.41211485844766693,-0.9876425690264989,-1.3634890663416726
0.4050142174998228,-0.975285138052998,-1.337418815040856
0.404997274840707,-1,-1.3604792054024024
0.3978966338928629,-0.9876425690264989,-1.334408954101586
0.390779050285903,-1,-1.3313990931623159
0.6170250798921977,-1,-1.7433762672818045
0.6099065354432864,-0.9875744347933055,-1.7359121399534307
0.6027879909943752,-0.975148869586611,-1.7284480126250568
0.6027815426432024,-1,-1.7226823739101345
0.5956629981942911,-0.9875744347933055,-1.7152182465817605
0.38363228385317805,-0.9875574731746427,-1.302399613464157
0.37648551742045305,-0.9751149463492854,-1.273400133765998
0.37646204493270086,-1,-1.3011396245418627
0.3693152784999759,-0.9875574731746427,-1.2721401448437037
0.36214503957949873,-1,-1.2708801559214096
0.6457176631411539,-1,-1.781030267219424
0.638549382064342,-0.987434503971202,-1.7758665194909011
0.63138110098753,-0.9748690079424042,-1.7707027717623782
0.6313713715166758,-1,-1.7622032672506145
0.6242030904398639,-0.987434503971202,-1.7570395195220914
0.6746291983660477,-1,-1.8149403501444794
0.6674195740338352,-0.9872532872422879,-1.8119847681157357
0.6602099497016227,-0.9745065744845757,-1.8090291860869918
0.6601734307536008,-1,-1.7979853086819517
0.6529638064213883,-0.9872532872422879,-1.7950297266532078
