Radius,225AMA_1500x_i1_T7_Radius Histo.csv,225AMA_1500x_i2_M5_Radius Histo.csv,225AMA_1500x_i3_M1_Radius Histo.csv,225AMB_1500x_i1_T7_Radius Histo.csv,225AMB_1500x_i2_T7_Radius Histo.csv,225AMB_1500x_i3_T6_Radius Histo.csv,225ASB_1500x_i2_T7_Radius Histo.csv,231AMA_1500x_i1_T7_Radius Histo.csv,231AMA_1500x_i2_T7_Radius Histo.csv,231AMA_1500x_i3_T7_Radius Histo.csv,231AMB_1500x_i1_T7_Radius Histo.csv,231AMB_1500x_i2_T7_Radius Histo.csv,231AMB_1500x_i3_T7_Radius Histo.csv,231ASA_1500x_i1_T7_Radius Histo.csv,231ASA_1500x_i2_T7_Radius Histo.csv,231ASA_1500x_i3_T7_Radius Histo.csv,231ASB_1500x_i1_T7_Radius Histo.csv,231ASB_1500x_i2_T7_Radius Histo.csv,231ASB_1500x_i3_T7_Radius Histo.csv,PV16-216MA_1500x_i1_T7_Radius Histo.csv,PV16-216MA_1500x_i2_T7_Radius Histo.csv,PV16-216MA_1500x_i3_T7_Radius Histo.csv,PV16-216MB_1500x_i1_T7_Radius Histo.csv,PV16-216MB_1500x_i2_T7_Radius Histo.csv,PV16-216MB_1500x_i3_T7_Radius Histo.csv,PV16-216SA_1500x_i1_T7_Radius Histo.csv,PV16-216SA_1500x_i2_T7_Radius Histo.csv,PV16-216SA_1500x_i3_T7_Radius Histo.csv,PV16-216SB_1500x_i1_T7_Radius Histo.csv,PV16-216SB_1500x_i2_T7_Radius Histo.csv,PV16-216SB_1500x_i3_T7_Radius Histo.csv,PV16-481MA_1500x_i1_T7_Radius Histo.csv,PV16-481MA_1500x_i2_T7_Radius Histo.csv,PV16-481MA_1500x_i3_T7_Radius Histo.csv,PV16-481MB_1500x_i1_T7_Radius Histo.csv,PV16-481MB_1500x_i2_T7_Radius Histo.csv,PV16-481MB_1500x_i3_T7_Radius Histo.csv,PV16-481SA_1500x_i1_T7_Radius Histo.csv,PV16-481SA_1500x_i2_T7_Radius Histo.csv,PV16-481SA_1500x_i3_T7_Radius Histo.csv,PV16-481SB_1500x_i1_T7_Radius Histo.csv,PV16-481SB_1500x_i2_T7_Radius Histo.csv,PV16-481SB_1500x_i3_T7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
0.6667,151,661,375,252,464,646,739,144,249,93,121,138,51,303,19,249,119,355,242,282,299,195,291,212,91,171,210,238,264,275,456,350,316,422,195,198,139,312,391,311,105,209,268,11571,0.0000,0.0000,0.0000,0.0000
0.7333,84,483,319,187,351,405,592,58,158,61,125,95,29,212,4,280,57,422,178,244,183,159,150,180,31,203,208,143,130,203,320,209,282,173,268,130,61,187,250,213,62,121,84,8294,0.0000,0.0000,0.0000,0.0000
0.8000,93,265,128,161,197,281,452,12,153,40,123,82,11,75,0,153,13,176,104,189,171,93,74,128,37,116,118,82,159,134,143,80,198,134,160,48,39,75,116,154,81,62,60,5170,0.0000,0.0000,0.0000,0.0000
0.8667,59,107,68,98,97,211,354,2,56,24,114,58,4,85,0,68,16,241,98,108,113,83,67,75,31,86,126,22,116,105,121,40,140,74,133,51,31,52,68,52,64,58,59,3635,0.0000,0.0000,0.0000,0.0000
0.9333,12,45,34,20,57,109,284,5,18,20,74,41,0,20,0,49,5,99,32,98,98,40,24,72,19,5,48,10,39,129,51,64,120,47,56,5,12,22,39,38,29,9,40,2038,0.0000,0.0000,0.0000,0.0000
1.0000,25,17,20,3,48,67,172,1,9,5,37,18,0,10,0,28,0,69,33,53,89,33,32,41,4,9,28,7,22,74,38,32,56,27,26,19,11,18,42,25,19,12,8,1287,0.0000,0.0000,0.0000,0.0000
1.0667,13,13,27,7,46,12,104,0,65,20,12,2,0,0,0,18,0,32,17,63,86,17,3,34,5,1,32,15,14,74,27,32,34,10,20,2,4,6,17,13,11,0,4,912,0.0000,0.0000,0.0000,0.0000
1.1333,2,5,21,1,33,12,52,0,10,14,7,0,0,0,0,4,0,18,22,111,13,17,3,33,2,0,45,12,1,28,8,13,29,0,24,0,1,0,2,5,65,0,0,613,0.0000,0.0000,0.0000,0.0000
1.2000,7,0,8,2,11,8,9,0,0,4,6,0,0,1,0,2,0,19,2,99,0,48,0,23,0,0,30,11,0,10,2,14,10,0,15,0,0,0,1,9,59,0,0,410,0.0000,0.0000,0.0000,0.0000
1.2667,0,6,2,0,2,7,9,0,0,8,2,0,0,0,0,1,0,17,0,54,0,26,0,15,0,0,4,3,0,8,3,0,18,6,8,0,0,2,6,10,14,0,0,231,0.0000,0.0000,0.0000,0.0000
1.3333,0,0,1,0,0,4,10,0,0,4,0,0,0,0,0,2,0,14,3,23,0,9,0,20,0,0,0,2,0,1,4,0,5,0,3,0,0,1,7,8,0,0,1,122,0.0000,0.0000,0.0000,0.0000
1.4000,0,0,5,0,0,0,1,0,0,6,0,0,0,0,0,1,0,5,4,9,0,9,0,28,1,0,0,0,0,0,0,0,14,0,2,0,0,9,1,0,0,0,0,95,0.0000,0.0000,0.0000,0.0000
1.4667,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,0,10,0,26,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,0,0,73,0.0000,0.0000,0.0000,0.0000
1.5333,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0.0000,0.0000,0.0000,0.0000
1.6000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0000,0.0000,0.0000,0.0000
1.6667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.0000,0.0000,0.0000,0.0000
1.7333,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0000,0.0000,0.0000,0.0000
1.8000,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0000,0.0000,0.0000,0.0000
1.8667,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0000,0.0000,0.0000,0.0000
1.9333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0000,0.0000,0.0000,0.0000
2.0000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0000,0.0000,0.0000,0.0000
2.0667,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0000,0.0000,0.0000,0.0000
2.1333,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0000,0.0000,0.0000,0.0000
2.2000,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0000,0.0000,0.0000,0.0000
2.2667,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0000,0.0000,0.0000,0.0000
