Lengths,1,2,3,4
5.0,6.779360339222162e-06,9.583775850453835e-07,3.9385474048803104e-12,1.567262572166328e-05
7.5,2.5370728344853433e-06,2.5811380826024077e-06,1.0571291973349162e-05,3.5906161826915195e-05
10.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
