Lengths,1,2,3,4
5.0,-9.946682450886264e+19,-3.426523057578026e+18,-5608386838035.529,-1.8216612946463515e+22
7.5,-1.778141265551101e+22,1.710211882734911e+21,1.0482554316316112e+21,1.442526820151403e+24
10.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
