Lengths,1,2,3,4
5.0,2.0,8.0,1.0,6.0
7.5,10.0,14.0,8.0,13.0
10.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
